NAME                     |POS  |BATS|G  |PA |AB |R  |H  |2B|3B|HR|RBI|SB |CS|BB |SO |BA   |OBP  |SLG  |OPS  |OPS+|TB |GDP|HBP|SH|SF|IBB|
Devon White              |CF   |S   |153|696|641|98 |159|26|7 |17|60 |37 |4 |47 |133|0.248|0.303|0.39 |0.693|90  |250|9  |5  |0 |3 |0  |
Roberto Alomar           |2B   |S   |152|671|571|105|177|27|8 |8 |76 |49 |9 |87 |52 |0.31 |0.405|0.427|0.832|130 |244|8  |5  |6 |2 |5  |
Joe Carter               |RF   |R   |158|683|622|97 |164|30|7 |34|119|12 |5 |36 |109|0.264|0.309|0.498|0.808|120 |310|14 |11 |1 |13|4  |
Dave Winfield            |DH/RF|R   |156|670|583|92 |169|33|3 |26|108|2  |3 |82 |89 |0.29 |0.377|0.491|0.867|138 |286|10 |1  |1 |3 |10 |
Kelly Gruber             |3B   |R   |120|481|446|42 |102|16|3 |11|43 |7  |7 |26 |72 |0.229|0.275|0.352|0.627|72  |157|14 |4  |1 |4 |3  |
John Olerud              |1B   |L   |138|537|458|68 |130|28|0 |16|66 |1  |0 |70 |61 |0.284|0.375|0.45 |0.825|127 |206|15 |1  |1 |7 |11 |
Candy Maldonado          |LF/RF|R   |137|560|489|64 |133|25|4 |20|66 |2  |2 |59 |112|0.272|0.357|0.462|0.819|125 |226|13 |7  |2 |3 |3  |
Pat Borders              |C    |R   |138|521|480|47 |116|26|2 |13|53 |1  |1 |33 |75 |0.242|0.29 |0.385|0.676|85  |185|11 |2  |1 |5 |3  |
Manuel Lee               |SS   |S   |128|457|396|49 |104|10|1 |3 |39 |6  |2 |50 |73 |0.263|0.343|0.316|0.659|83  |125|8  |0  |8 |3 |0  |
Alfredo Griffin          |SS/2B|S   |63 |164|150|21 |35 |7 |0 |0 |10 |3  |1 |9  |19 |0.233|0.273|0.28 |0.553|53  |42 |3  |0  |3 |2 |0  |
Derek Bell               |OF   |R   |61 |184|161|23 |39 |6 |3 |2 |15 |7  |2 |15 |34 |0.242|0.324|0.354|0.678|88  |57 |6  |5  |2 |1 |1  |
Ed Sprague               |IF/C |R   |22 |50 |47 |6  |11 |2 |0 |1 |7  |0  |0 |3  |7  |0.234|0.28 |0.34 |0.62 |71  |16 |0  |0  |0 |0 |0  |
Greg Myers               |C    |L   |22 |68 |61 |4  |14 |6 |0 |1 |13 |0  |0 |5  |5  |0.23 |0.279|0.377|0.656|80  |23 |2  |0  |0 |2 |0  |
Jeff Kent                |IF   |R   |65 |222|192|36 |46 |13|1 |8 |35 |2  |1 |20 |47 |0.24 |0.324|0.443|0.767|110 |85 |3  |6  |0 |4 |0  |
Pat Tabler               |IF/OF|R   |49 |147|135|11 |34 |5 |0 |0 |16 |0  |0 |11 |14 |0.252|0.306|0.289|0.595|66  |39 |6  |0  |0 |1 |0  |
NAME                     |POS|THROWS|W |L |W-L% |ERA |G |GS|GF|CG|SHO|SV|IP   |H  |R  |ER |HR|BB |IBB|SO |HBP|BK|WP|BF  |ERA+|FIP |WHIP |H9  |HR9|BB9 |SO9 |SO/W |
Jack Morris              |SP |R     |21|6 |0.778|4.04|34|34|0 |6 |1  |0 |240.2|222|114|108|18|80 |2  |132|10 |2 |9 |1005|101 |3.78|1.255|8.3 |0.7|3   |4.9 |1.65 |
David Cone               |SP |R     |4 |3 |0.571|2.55|8 |7 |0 |0 |0  |0 |53   |39 |16 |15 |3 |29 |2  |47 |3  |0 |3 |224 |161 |3.56|1.283|6.6 |0.5|4.9 |8   |1.62 |
Jimmy Key                |SP |L     |13|13|0.5  |3.53|33|33|0 |4 |2  |0 |216.2|205|88 |85 |24|59 |0  |117|4  |0 |5 |900 |115 |4.02|1.218|8.5 |1  |2.5 |4.9 |1.98 |
Juan Guzman              |SP |R     |16|5 |0.762|2.64|28|28|0 |1 |0  |0 |180.2|135|56 |53 |6 |72 |2  |165|1  |2 |14|733 |154 |2.6 |1.146|6.7 |0.3|3.6 |8.2 |2.29 |
Todd Stottlemyre         |SP |R     |12|11|0.522|4.5 |28|27|0 |6 |2  |0 |174  |175|99 |87 |20|63 |4  |98 |10 |0 |7 |755 |91  |4.41|1.368|9.1 |1  |3.3 |5.1 |1.56 |
Tom Henke                |CL |R     |3 |2 |0.6  |2.26|57|0 |50|0 |0  |34|55.2 |40 |19 |14 |5 |22 |2  |46 |0  |0 |4 |228 |181 |3.48|1.114|6.5 |0.8|3.6 |7.4 |2.09 |
Bob Macdonald            |RP |L     |1 |0 |1    |4.37|27|0 |9 |0 |0  |0 |47.1 |50 |24 |23 |4 |16 |3  |26 |1  |0 |0 |204 |94  |3.86|1.394|9.5 |0.8|3   |4.9 |1.63 |
David Wells              |RP |L     |7 |9 |0.438|5.4 |41|14|14|0 |0  |2 |120  |138|84 |72 |16|36 |6  |62 |8  |1 |3 |529 |76  |4.58|1.45 |10.4|1.2|2.7 |4.7 |1.72 |
Duane Ward               |RP |R     |7 |4 |0.636|1.95|79|0 |35|0 |0  |12|101.1|76 |27 |22 |5 |39 |3  |103|1  |0 |7 |414 |209 |2.58|1.135|6.8 |0.4|3.5 |9.1 |2.64 |
Pat Hentgen              |RP |R     |5 |2 |0.714|5.36|28|2 |10|0 |0  |0 |50.1 |49 |30 |30 |7 |32 |5  |39 |0  |1 |2 |229 |76  |4.95|1.609|8.8 |1.3|5.7 |7   |1.22 |
NAME                     |G  |GS |CG |INN   |CH  |PO  |A  |E |DP |FLD% |RTOT|RTOT/YR|RF/9|RF/G|PB|WP|SB |CS|CS% |LGCS%|PO|
Alfredo Griffin          |61 |39 |31 |403.2 |204 |61  |136|7 |17 |0.966|1   |2      |4.39|3.08|  |  |   |  |    |     |  |
Bob Macdonald            |27 |0  |0  |47.1  |4   |2   |2  |0 |0  |1    |    |       |0.76|0.15|  |  |4  |0 |0   |0.34 |0 |
Candy Maldonado          |132|134|126|1151.2|279 |260 |12 |7 |1  |0.975|-7  |-8     |2.13|1.99|  |  |   |  |    |     |  |
Dave Winfield            |26 |156|21 |217.1 |53  |52  |1  |0 |0  |1    |0   |2      |2.19|0.34|  |  |   |  |    |     |  |
David Cone               |8  |7  |0  |53    |4   |2   |2  |0 |0  |1    |    |       |0.68|0.5 |  |  |15 |4 |0.21|0.34 |0 |
David Wells              |41 |14 |0  |120   |24  |9   |14 |1 |1  |0.958|    |       |1.72|0.56|  |  |14 |6 |0.3 |0.34 |3 |
Derek Bell               |56 |40 |36 |395   |109 |105 |4  |0 |1  |1    |4   |12     |2.48|1.88|  |  |   |  |    |     |  |
Devon White              |152|152|138|1307.2|459 |443 |9  |7 |2  |0.985|32  |30     |3.11|2.95|  |  |   |  |    |     |  |
Duane Ward               |79 |0  |0  |101.1 |16  |4   |11 |1 |0  |0.938|    |       |1.33|0.19|  |  |14 |4 |0.22|0.34 |0 |
Ed Sprague               |20 |10 |8  |105   |88  |82  |5  |1 |1  |0.989|-2  |-19    |7.46|3.95|1 |4 |7  |1 |0.13|0.34 |0 |
Greg Myers               |18 |17 |13 |146   |106 |92  |13 |1 |1  |0.991|-1  |-8     |6.47|5.53|2 |4 |20 |7 |0.26|0.34 |0 |
Jack Morris              |34 |34 |6  |240.2 |47  |20  |26 |1 |1  |0.979|    |       |1.72|1.35|  |  |22 |16|0.42|0.34 |0 |
Jeff Kent                |64 |52 |40 |477   |185 |62  |112|11|4  |0.941|-1  |-2     |3.28|2.52|  |  |   |  |    |     |  |
Jimmy Key                |33 |33 |4  |216.2 |46  |18  |27 |1 |2  |0.978|    |       |1.87|1.36|  |  |14 |9 |0.39|0.34 |0 |
Joe Carter               |133|157|115|1132.1|306 |284 |13 |9 |3  |0.971|-2  |-2     |2.36|1.89|  |  |   |  |    |     |  |
John Olerud              |133|125|112|1096.1|1145|1057|81 |7 |72 |0.994|2   |3      |9.34|8.49|  |  |   |  |    |     |  |
Juan Guzman              |28 |28 |1  |180.2 |23  |12  |11 |0 |0  |1    |    |       |1.15|0.82|  |  |27 |8 |0.23|0.34 |2 |
Kelly Gruber             |120|118|106|1021.2|336 |104 |215|17|10 |0.949|0   |0      |2.81|2.66|  |  |   |  |    |     |  |
Manuel Lee               |128|126|111|1080  |525 |187 |331|7 |67 |0.987|12  |13     |4.32|4.05|  |  |   |  |    |     |  |
Pat Borders              |137|132|122|1160.2|880 |784 |88 |8 |7  |0.991|-6  |-6     |6.76|6.36|11|54|116|52|0.31|0.34 |2 |
Pat Hentgen              |28 |2  |0  |50.1  |4   |0   |4  |0 |1  |1    |    |       |0.72|0.14|  |  |5  |0 |0   |0.34 |0 |
Pat Tabler               |43 |33 |24 |302.1 |310 |288 |22 |0 |20 |1    |1   |2      |9.23|6.89|  |  |   |  |    |     |  |
Roberto Alomar           |150|150|132|1276.2|670 |287 |378|5 |66 |0.993|1   |1      |4.69|4.4 |  |  |   |  |    |     |  |
Todd Stottlemyre         |28 |27 |6  |174   |33  |15  |17 |1 |2  |0.97 |    |       |1.66|1.14|  |  |17 |3 |0.15|0.34 |0 |
